id|product_id|name|category|date|quantity|price|total
S001|P001|晨光中性笔|笔|2026-05-27|10|3.00|30.00
S002|P007|晨光A5笔记本|本|2026-05-27|5|6.50|32.50
S003|P016|4B橡皮|橡皮|2026-05-27|8|2.50|20.00
S004|P024|卷笔刀|工具|2026-05-27|3|4.00|12.00
S005|P001|晨光中性笔|笔|2026-05-26|15|3.00|45.00
S006|P003|斑马荧光笔|笔|2026-05-26|3|7.50|22.50
S007|P013|透明塑料尺|尺|2026-05-26|10|2.00|20.00
S008|P020|固体胶|胶水|2026-05-26|6|3.00|18.00
S009|P002|真彩中性笔|笔|2026-05-25|20|2.50|50.00
S010|P009|作文本|本|2026-05-25|30|1.50|45.00
S011|P010|数学练习本|本|2026-05-25|25|1.30|32.50
S012|P024|卷笔刀|工具|2026-05-25|5|4.00|20.00
S013|P001|晨光中性笔|笔|2026-05-24|8|3.00|24.00
S014|P007|晨光A5笔记本|本|2026-05-24|12|6.50|78.00
S015|P022|文具剪刀|工具|2026-05-24|3|5.00|15.00
S016|P004|百乐自动铅笔|笔|2026-05-23|2|15.00|30.00
S017|P017|绘图橡皮|橡皮|2026-05-23|4|4.50|18.00
S018|P021|双面胶|胶带|2026-05-23|10|2.50|25.00
S019|P005|得力记号笔|笔|2026-05-22|15|2.00|30.00
S020|P008|得力线圈本|本|2026-05-22|8|4.50|36.00
S021|P025|订书机|工具|2026-05-22|2|15.00|30.00
S022|P006|英雄钢笔|笔|2026-05-21|1|30.00|30.00
S023|P012|会议记录本|本|2026-05-21|3|10.00|30.00
S024|P019|修正液|修正|2026-05-21|5|4.00|20.00
S025|P001|晨光中性笔|笔|2026-05-20|12|3.00|36.00
S026|P014|钢直尺30cm|尺|2026-05-20|5|4.00|20.00
S027|P016|4B橡皮|橡皮|2026-05-20|10|2.50|25.00
S028|P023|美工刀|工具|2026-05-20|2|7.00|14.00
S029|P015|三角尺套装|尺|2026-05-19|4|6.00|24.00
S030|P018|修正带|修正|2026-05-19|3|8.00|24.00
S031|P011|英语练习本|本|2026-05-19|20|1.30|26.00
S032|P007|晨光A5笔记本|本|2026-05-18|8|6.50|52.00
S033|P002|真彩中性笔|笔|2026-05-18|12|2.50|30.00
S034|P009|作文本|本|2026-05-18|35|1.50|52.50
S035|P001|晨光中性笔|笔|2026-05-17|6|3.00|18.00
S036|P010|数学练习本|本|2026-05-17|15|1.30|19.50
S037|P020|固体胶|胶水|2026-05-17|4|3.00|12.00
S038|P003|斑马荧光笔|笔|2026-05-16|5|7.50|37.50
S039|P008|得力线圈本|本|2026-05-16|6|4.50|27.00
S040|P021|双面胶|胶带|2026-05-16|8|2.50|20.00
S041|P001|晨光中性笔|笔|2026-05-15|10|3.00|30.00
S042|P005|得力记号笔|笔|2026-05-15|20|2.00|40.00
S043|P013|透明塑料尺|尺|2026-05-15|15|2.00|30.00
S044|P004|百乐自动铅笔|笔|2026-05-14|3|15.00|45.00
S045|P012|会议记录本|本|2026-05-14|2|10.00|20.00
S046|P022|文具剪刀|工具|2026-05-14|4|5.00|20.00
S047|P007|晨光A5笔记本|本|2026-05-13|10|6.50|65.00
S048|P016|4B橡皮|橡皮|2026-05-13|6|2.50|15.00
S049|P025|订书机|工具|2026-05-13|1|15.00|15.00
S050|P001|晨光中性笔|笔|2026-05-12|8|3.00|24.00
S051|P019|修正液|修正|2026-05-12|3|4.00|12.00
S052|P002|真彩中性笔|笔|2026-05-11|10|2.50|25.00
S053|P009|作文本|本|2026-05-11|20|1.50|30.00
S054|P023|美工刀|工具|2026-05-11|3|7.00|21.00
S055|P007|晨光A5笔记本|本|2026-05-10|5|6.50|32.50
S056|P017|绘图橡皮|橡皮|2026-05-10|3|4.50|13.50
