id|name|category|manufacturer|model|stock|price
P001|晨光中性笔|笔|晨光文具|K35|150|2.50
P002|真彩中性笔|笔|真彩文具|A36|70|2.00
P003|斑马荧光笔|笔|斑马牌|WKT7|60|5.80
P004|百乐自动铅笔|笔|百乐|SGP-5|45|12.00
P005|得力记号笔|笔|得力集团|6881|120|1.50
P006|英雄钢笔|笔|英雄金笔厂|100|30|25.00
P007|晨光A5笔记本|本|晨光文具|B5120|200|5.00
P008|得力线圈本|本|得力集团|7896|100|3.50
P009|作文本|本|金亿利|A5|300|1.20
P010|数学练习本|本|金亿利|B5|250|1.00
P011|英语练习本|本|金亿利|B5|15|1.00
P012|会议记录本|本|齐心|A4|60|8.00
P013|透明塑料尺|尺|得力集团|6230|180|1.50
P014|钢直尺30cm|尺|得力集团|8372|8|3.00
P015|三角尺套装|尺|得力集团|SL102|50|4.50
P016|4B橡皮|橡皮|樱花|XRFW-60|193|2.00
P017|绘图橡皮|橡皮|辉柏嘉|Dust-Free|80|3.50
P018|修正带|修正|普乐士|NO-105TX|5|6.00
P019|修正液|修正|晨光文具|MP-63012|90|3.00
P020|固体胶|胶水|得力集团|7102|100|2.50
P021|双面胶|胶带|晨光文具|AJD95743|150|1.80
P022|文具剪刀|工具|得力集团|6009|40|4.00
P023|美工刀|工具|得力集团|2055|15|5.50
P024|卷笔刀|工具|晨光文具|FSA95602|70|3.00
P025|订书机|工具|得力集团|0325|25|12.00
