id|product_id|name|category|date|quantity|price|total
B001|P001|晨光中性笔|笔|2026-05-25|100|1.80|180.00
B002|P007|晨光A5笔记本|本|2026-05-23|80|3.20|256.00
B003|P009|作文本|本|2026-05-22|200|0.70|140.00
B004|P002|真彩中性笔|笔|2026-05-20|60|1.40|84.00
B005|P010|数学练习本|本|2026-05-18|150|0.60|90.00
B006|P016|4B橡皮|橡皮|2026-05-16|100|1.20|120.00
B007|P013|透明塑料尺|尺|2026-05-15|100|0.80|80.00
B008|P005|得力记号笔|笔|2026-05-13|80|0.90|72.00
B009|P020|固体胶|胶水|2026-05-12|80|1.50|120.00
B010|P003|斑马荧光笔|笔|2026-05-10|40|3.50|140.00
B011|P021|双面胶|胶带|2026-05-08|100|1.00|100.00
B012|P004|百乐自动铅笔|笔|2026-05-06|30|7.50|225.00
B013|P008|得力线圈本|本|2026-05-05|60|2.00|120.00
B014|P006|英雄钢笔|笔|2026-05-03|20|15.00|300.00
B015|P017|绘图橡皮|橡皮|2026-04-28|50|2.00|100.00
B016|P025|订书机|工具|2026-04-25|15|7.50|112.50
B017|P022|文具剪刀|工具|2026-04-22|30|2.50|75.00
B018|P024|卷笔刀|工具|2026-04-20|50|1.80|90.00
B019|P015|三角尺套装|尺|2026-04-18|40|2.80|112.00
B020|P019|修正液|修正|2026-04-15|60|1.80|108.00
